Fecha_Numero,Fecha,Local,Visitante,Jugador,Oponente,Es_Local,Prediccion_Goles,Prediccion_Continua,Promedio_Historico_vs_Oponente,Historico_Tiros_Totales,Historico_Tiros_Puerta,Confianza,Prob_0goles,Prob_1gol,Prob_2goles,Prob_3mas_goles,Rango_Prediccion,Probabilidades
1,2025-01-24,Junior,Deportivo Cali,Carlos_Bacca,Deportivo Cali,True,1,0.71764505,0.8333333333333334,2.3333333333333335,1.1666666666666667,1.0,0.48789988439952076,0.35013893649341393,0.12563773713497048,0.03632344197209485,"[0.7176450490951538, 0.7176450490951538]","{'P(0)': 0.48789988439952076, 'P(1)': 0.35013893649341393, 'P(2)': 0.12563773713497048, 'P(3)': 0.030054433344809978, 'P(4)': 0.005392103823315797, 'P(5+)': 0.0008769048039690697}"
2,2025-01-31,Junior,Rionegro,Carlos_Bacca,Rionegro,True,1,0.7230003,0.75,1.625,1.25,1.0,0.48529404761911443,0.3508677361979854,0.12683873716221752,0.03699947902068268,"[0.7230002880096436, 0.7230002880096436]","{'P(0)': 0.48529404761911443, 'P(1)': 0.3508677361979854, 'P(2)': 0.12683873716221752, 'P(3)': 0.03056814783302092, 'P(4)': 0.005525194921798873, 'P(5+)': 0.0009061362658628891}"
3,2025-02-07,Unión Magdalena,Junior,Carlos_Bacca,Unión Magdalena,False,1,0.8189306,0.25,2.25,0.875,1.0,0.44090289262331706,0.3610688818239796,0.1478451826953656,0.050183042857337684,"[0.8189306259155273, 0.8189306259155273]","{'P(0)': 0.44090289262331706, 'P(1)': 0.3610688818239796, 'P(2)': 0.1478451826953656, 'P(3)': 0.04035831600110375, 'P(4)': 0.008262665245920136, 'P(5+)': 0.001562061610313803}"
4,2025-02-11,Junior,Once Caldas,Carlos_Bacca,Once Caldas,True,1,0.87225294,0.125,2.125,1.0,1.0,0.41800873851752024,0.36460935159061353,0.15901578964449764,0.058366120247368695,"[0.8722529411315918, 0.8722529411315918]","{'P(0)': 0.41800873851752024, 'P(1)': 0.36460935159061353, 'P(2)': 0.15901578964449764, 'P(3)': 0.04623399673459186, 'P(4)': 0.010081934908004042, 'P(5+)': 0.0020501886047727957}"
5,2025-02-15,Boyacá Chicó,Junior,Carlos_Bacca,Boyacá Chicó,False,1,0.8189306,0.25,1.0,0.75,1.0,0.44090289262331706,0.3610688818239796,0.1478451826953656,0.050183042857337684,"[0.8189306259155273, 0.8189306259155273]","{'P(0)': 0.44090289262331706, 'P(1)': 0.3610688818239796, 'P(2)': 0.1478451826953656, 'P(3)': 0.04035831600110375, 'P(4)': 0.008262665245920136, 'P(5+)': 0.001562061610313803}"
6,2025-02-21,Junior,Envigado,Carlos_Bacca,Envigado,True,1,0.727216,0.6666666666666666,2.1666666666666665,1.0,1.0,0.4832524914348417,0.35142894638475275,0.12778237727280256,0.037536184907603,"[0.7272160053253174, 0.7272160053253174]","{'P(0)': 0.4832524914348417, 'P(1)': 0.35142894638475275, 'P(2)': 0.12778237727280256, 'P(3)': 0.030975129983766694, 'P(4)': 0.00563140257280682, 'P(5+)': 0.0009296523510294863}"
7,2025-02-28,Bucaramanga,Junior,Carlos_Bacca,Bucaramanga,False,1,0.8181542,0.2857142857142857,1.5714285714285714,0.8571428571428571,1.0,0.44124534700884244,0.3610067408630147,0.14767959348693616,0.050068318641206755,"[0.8181542158126831, 0.8181542158126831]","{'P(0)': 0.44124534700884244, 'P(1)': 0.3610067408630147, 'P(2)': 0.14767959348693616, 'P(3)': 0.040274894000280025, 'P(4)': 0.008237768579434512, 'P(5+)': 0.0015556560614922166}"
8,2025-03-07,Junior,Millonarios,Carlos_Bacca,Millonarios,True,1,0.73911846,0.375,2.625,1.125,1.0,0.47753469747103205,0.35295470868259143,0.13043766980803528,0.03907292403834128,"[0.7391184568405151, 0.7391184568405151]","{'P(0)': 0.47753469747103205, 'P(1)': 0.35295470868259143, 'P(2)': 0.13043766980803528, 'P(3)': 0.03213629640746257, 'P(4)': 0.005938132452313277, 'P(5+)': 0.0009984951785654284}"
9,2025-03-14,Llaneros,Junior,Carlos_Bacca,Llaneros,False,0,0.8204527,0.0,1.0,0.0,1.0,0.44023232056713896,0.36118979168906556,0.14816956811840293,0.05040831962539265,"[0.8204526901245117, 0.8204526901245117]","{'P(0)': 0.44023232056713896, 'P(1)': 0.36118979168906556, 'P(2)': 0.14816956811840293, 'P(3)': 0.04052204025244359, 'P(4)': 0.00831160423361277, 'P(5+)': 0.00157467513933629}"
10,2025-03-22,Junior,Unión Magdalena,Carlos_Bacca,Unión Magdalena,True,0,0.7438686,0.25,2.25,0.875,1.0,0.47527172332438433,0.3535397064116086,0.13149354135286684,0.039695028911140205,"[0.7438685894012451, 0.7438685894012451]","{'P(0)': 0.47527172332438433, 'P(1)': 0.3535397064116086, 'P(2)': 0.13149354135286684, 'P(3)': 0.03260463837384378, 'P(4)': 0.006063391588772219, 'P(5+)': 0.0010269989485242048}"
11,2025-03-28,La Equidad,Junior,Carlos_Bacca,La Equidad,False,1,0.8204527,0.0,0.75,0.25,1.0,0.44023232056713896,0.36118979168906556,0.14816956811840293,0.05040831962539265,"[0.8204526901245117, 0.8204526901245117]","{'P(0)': 0.44023232056713896, 'P(1)': 0.36118979168906556, 'P(2)': 0.14816956811840293, 'P(3)': 0.04052204025244359, 'P(4)': 0.00831160423361277, 'P(5+)': 0.00157467513933629}"
12,2025-04-04,Junior,Independiente Medellín,Carlos_Bacca,Independiente Medellín,True,0,0.72888947,0.625,2.5,1.125,1.0,0.48244446400664465,0.3516486874222016,0.12815651187993957,0.03775033669121402,"[0.7288894653320312, 0.7288894653320312]","{'P(0)': 0.48244446400664465, 'P(1)': 0.3516486874222016, 'P(2)': 0.12815651187993957, 'P(3)': 0.031137310474329084, 'P(4)': 0.005673914395877794, 'P(5+)': 0.0009391118210071436}"
13,2025-04-10,Deportivo Pasto,Junior,Carlos_Bacca,Deportivo Pasto,False,1,0.96579325,0.3333333333333333,2.3333333333333335,1.0,1.0,0.38068110389241,0.367659241299878,0.17754140713982647,0.07411824766788555,"[0.965793251991272, 0.965793251991272]","{'P(0)': 0.38068110389241, 'P(1)': 0.367659241299878, 'P(2)': 0.17754140713982647, 'P(3)': 0.057156097654893136, 'P(4)': 0.013800243356312487, 'P(5+)': 0.0031619066566799248}"
14,2025-04-14,Deportes Tolima,Junior,Carlos_Bacca,Deportes Tolima,False,1,0.96557635,0.4,1.7,0.8,0.9999999403953588,0.380763683075062,0.3676564075784963,0.177500166168524,0.07407974317791774,"[0.9655762338638305, 0.9655764675140381]","{'P(0)': 0.380763683075062, 'P(1)': 0.3676564075784963, 'P(2)': 0.177500166168524, 'P(3)': 0.05712998756522761, 'P(4)': 0.013790841227034164, 'P(5+)': 0.0031589143856559643}"
15,2025-04-19,Junior,Alianza FC,Carlos_Bacca,Alianza FC,True,1,0.7230003,0.75,3.0,1.5,1.0,0.48529404761911443,0.3508677361979854,0.12683873716221752,0.03699947902068268,"[0.7230002880096436, 0.7230002880096436]","{'P(0)': 0.48529404761911443, 'P(1)': 0.3508677361979854, 'P(2)': 0.12683873716221752, 'P(3)': 0.03056814783302092, 'P(4)': 0.005525194921798873, 'P(5+)': 0.0009061362658628891}"
16,2025-04-26,Pereira,Junior,Carlos_Bacca,Pereira,False,1,0.8080102,0.5555555555555556,1.0,0.5555555555555556,1.0,0.445744116901608,0.3601658021965704,0.1455088246296842,0.04858125627213737,"[0.8080102205276489, 0.8080102205276489]","{'P(0)': 0.445744116901608, 'P(1)': 0.3601658021965704, 'P(2)': 0.1455088246296842, 'P(3)': 0.03919087249258338, 'P(4)': 0.00791665638135082, 'P(5+)': 0.0014737273982031729}"
17,2025-05-03,Junior,América de Cali,Carlos_Bacca,América de Cali,True,1,0.74477947,0.0,0.0,0.0,1.0,0.47483900578774463,0.3536503419180963,0.13169575668210023,0.03981489561205886,"[0.7447794675827026, 0.7447794675827026]","{'P(0)': 0.47483900578774463, 'P(1)': 0.3536503419180963, 'P(2)': 0.13169575668210023, 'P(3)': 0.03269476518153192, 'P(4)': 0.006087597451160709, 'P(5+)': 0.0010325329793662297}"
18,2025-05-10,Independiente Santa Fe,Junior,Carlos_Bacca,Independiente Santa Fe,False,1,0.8181542,0.2857142857142857,2.0,0.7142857142857143,1.0,0.44124534700884244,0.3610067408630147,0.14767959348693616,0.050068318641206755,"[0.8181542158126831, 0.8181542158126831]","{'P(0)': 0.44124534700884244, 'P(1)': 0.3610067408630147, 'P(2)': 0.14767959348693616, 'P(3)': 0.040274894000280025, 'P(4)': 0.008237768579434512, 'P(5+)': 0.0015556560614922166}"
19,2025-05-17,Junior,Fortaleza CEIF,Carlos_Bacca,Fortaleza CEIF,True,1,0.7036196,1.0,1.0,1.0,1.0,0.4947911130371065,0.3481447247133224,0.12248072585796965,0.03458343639160139,"[0.7036195993423462, 0.7036195993423462]","{'P(0)': 0.4947911130371065, 'P(1)': 0.3481447247133224, 'P(2)': 0.12248072585796965, 'P(3)': 0.028726613085114795, 'P(4)': 0.005053151997352763, 'P(5+)': 0.0008036713091338354}"
20,2025-05-24,Atlético Nacional,Junior,Carlos_Bacca,Atlético Nacional,False,1,0.8189306,0.25,1.25,1.0,1.0,0.44090289262331706,0.3610688818239796,0.1478451826953656,0.050183042857337684,"[0.8189306259155273, 0.8189306259155273]","{'P(0)': 0.44090289262331706, 'P(1)': 0.3610688818239796, 'P(2)': 0.1478451826953656, 'P(3)': 0.04035831600110375, 'P(4)': 0.008262665245920136, 'P(5+)': 0.001562061610313803}"
