Jugador,Temporada,Fecha,Equipo,Oponente,Goles,Asistencias,Día de la semana,Sede,Titular,Minutos,Penales marcados,Penales intentados,Tiros totales,Tiros a puerta,Tarjetas amarillas,Tarjetas rojas,Faltas cometidas,Faltas recibidas,Fuera de juego,Centros,Entradas ganadas,Intercepciones,Goles en propia,Penales ganados,Penales concedidos,Año,Mes,Equipo_Estandarizado,Equipo_Es_Colombiano,Equipo_Bucaramanga,Equipo_Independiente Santa Fe,Equipo_Junior,Equipo_Millonarios,Equipo_Once Caldas,Equipo_Pereira,Equipo_Rionegro,Oponente_Estandarizado,Oponente_Es_Colombiano,Oponente_Alianza FC,Oponente_Atlético Huila,Oponente_Atlético Nacional,Oponente_Boyacá Chicó,Oponente_Bucaramanga,Oponente_Cortuluá,Oponente_Deportes Tolima,Oponente_Deportivo Cali,Oponente_Deportivo Pasto,Oponente_Envigado,Oponente_Fortaleza CEIF,Oponente_Independiente Santa Fe,Oponente_Jaguares,Oponente_Junior,Oponente_La Equidad,Oponente_Llaneros,Oponente_Millonarios,Oponente_Once Caldas,Oponente_Pereira,Oponente_Rionegro,Oponente_Unión Magdalena,Sede_Local,Sede_Visitante,Sede_Neutral,Goles_por_90min,Eficiencia_Tiro,Precision_Tiro,Indice_Ofensivo,Indice_Disciplina,Indice_Participacion,Score_Global_Ataque,Tasa_Conversion_Penales,Ratio_Faltas
Carlos_Bacca,2022,2022-09-10,Junior,Pereira,0,0,Sat,HOME,Y,90,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,2022,9,Junior,True,False,False,True,False,False,False,False,Pereira,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1,0,0,0.0,0.0,0.0,0.0,10,10.0,4.0,0.0,1.0
Carlos_Bacca,2022,2022-09-21,Junior,Millonarios,0,0,Wed,HOME,Y,88,0,0,4,2,0,0,2,1,0,0,1,0,0,0,0,2022,9,Junior,True,False,False,True,False,False,False,False,Millonarios,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1,0,0,0.0,0.0,50.0,0.4,10,9.777777777777777,4.173333333333333,0.0,0.5
Carlos_Bacca,2022,2022-10-02,Junior,AD Cali,1,0,Sun,HOME,N,31,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,2022,10,Junior,True,False,False,True,False,False,False,False,Deportivo Cali,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0,2.903225806451613,50.0,50.0,0.2,9,3.4444444444444446,2.0533333333333337,0.0,0.0
Carlos_Bacca,2022,2022-10-09,Junior,CA Bucaramanga,0,0,Sun,AWAY,N,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,10,Junior,True,False,False,True,False,False,False,False,Bucaramanga,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1,0,0.0,0.0,0.0,0.0,10,0.6666666666666666,1.2,0.0,0.0
Carlos_Bacca,2022,2022-10-13,Junior,Unión Magdalena,0,0,Thu,HOME,Y,90,0,0,3,1,0,0,0,2,2,1,0,1,0,0,0,2022,10,Junior,True,False,False,True,False,False,False,False,Unión Magdalena,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1,0,0,0.0,0.0,33.33333333333333,0.2,10,10.0,4.12,0.0,2.0
Carlos_Bacca,2022,2022-10-17,Junior,Envigado,0,0,Mon,AWAY,N,45,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,2022,10,Junior,True,False,False,True,False,False,False,False,Envigado,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0,1,0,0.0,0.0,0.0,0.0,10,5.0,2.5,0.0,0.0
Carlos_Bacca,2022,2022-10-23,Junior,Cortuluá,0,0,Sun,HOME,Y,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,10,Junior,True,False,False,True,False,False,False,False,Cortuluá,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0,0.0,0.0,0.0,0.0,10,4.333333333333334,2.3,0.0,0.0
Carlos_Bacca,2022,2022-10-30,Junior,Jaguares,1,1,Sun,AWAY,Y,85,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,2022,10,Junior,True,False,False,True,False,False,False,False,Jaguares,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0,1,0,1.0588235294117647,100.0,100.0,2.2,10,9.444444444444445,5.153333333333334,0.0,1.0
Carlos_Bacca,2022,2022-11-06,Junior,Pereira,1,0,Sun,AWAY,Y,80,0,0,1,1,0,1,2,0,0,0,0,0,0,0,0,2022,11,Junior,True,False,False,True,False,False,False,False,Pereira,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,1,0,1.125,100.0,100.0,0.2,7,8.88888888888889,3.4866666666666664,0.0,0.0
Carlos_Bacca,2022,2022-11-13,Junior,Santa Fe,0,0,Sun,AWAY,Y,90,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,2022,11,Junior,True,False,False,True,False,False,False,False,Independiente Santa Fe,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0,1,0,0.0,0.0,0.0,0.0,10,10.0,4.0,0.0,1.0
