Fecha_Numero,Fecha,Local,Visitante
14,2025-04-14,Independiente Santa Fe,Independiente Medellín
14,2025-04-14,Alianza FC,Deportivo Pasto
14,2025-04-14,Pereira,Deportivo Cali
14,2025-04-14,Deportes Tolima,Junior
14,2025-04-14,Rionegro,Unión Magdalena
14,2025-04-14,Once Caldas,La Equidad
14,2025-04-14,Atlético Nacional,Boyacá Chicó
14,2025-04-14,América de Cali,Millonarios
14,2025-04-14,Bucaramanga,Envigado
14,2025-04-14,Fortaleza CEIF,Llaneros
15,2025-04-19,La Equidad,América de Cali
15,2025-04-19,Junior,Alianza FC
15,2025-04-19,Independiente Medellín,Once Caldas
15,2025-04-19,Envigado,Deportes Tolima
15,2025-04-19,Unión Magdalena,Bucaramanga
15,2025-04-19,Deportivo Cali,Atlético Nacional
15,2025-04-19,Llaneros,Independiente Santa Fe
15,2025-04-19,Millonarios,Pereira
15,2025-04-19,Deportivo Pasto,Rionegro
15,2025-04-19,Boyacá Chicó,Fortaleza CEIF
16,2025-04-26,Envigado,Unión Magdalena
16,2025-04-26,Deportes Tolima,La Equidad
16,2025-04-26,Fortaleza CEIF,Independiente Medellín
16,2025-04-26,Atlético Nacional,Deportivo Pasto
16,2025-04-26,Independiente Santa Fe,Boyacá Chicó
16,2025-04-26,América de Cali,Deportivo Cali
16,2025-04-26,Pereira,Junior
16,2025-04-26,Once Caldas,Llaneros
16,2025-04-26,Bucaramanga,Millonarios
16,2025-04-26,Alianza FC,Rionegro
17,2025-05-03,Llaneros,Bucaramanga
17,2025-05-03,La Equidad,Alianza FC
17,2025-05-03,Independiente Medellín,Atlético Nacional
17,2025-05-03,Deportivo Cali,Deportes Tolima
17,2025-05-03,Deportivo Pasto,Fortaleza CEIF
17,2025-05-03,Boyacá Chicó,Envigado
17,2025-05-03,Unión Magdalena,Once Caldas
17,2025-05-03,Junior,América de Cali
17,2025-05-03,Rionegro,Pereira
17,2025-05-03,Millonarios,Independiente Santa Fe
18,2025-05-10,Envigado,Rionegro
18,2025-05-10,Deportes Tolima,Unión Magdalena
18,2025-05-10,Fortaleza CEIF,La Equidad
18,2025-05-10,Atlético Nacional,Llaneros
